Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
06/17/2020,02/01/2020,06/13/2020,AL,Butler County,1013,13,86
06/17/2020,02/01/2020,06/13/2020,AL,Elmore County,1051,17,265
06/17/2020,02/01/2020,06/13/2020,AL,Etowah County,1055,13,557
06/17/2020,02/01/2020,06/13/2020,AL,Houston County,1069,45,681
06/17/2020,02/01/2020,06/13/2020,AL,Jefferson County,1073,157,3475
06/17/2020,02/01/2020,06/13/2020,AL,Lee County,1081,60,473
06/17/2020,02/01/2020,06/13/2020,AL,Madison County,1089,11,1474
06/17/2020,02/01/2020,06/13/2020,AL,Mobile County,1097,146,1903
06/17/2020,02/01/2020,06/13/2020,AL,Montgomery County,1101,75,1090
06/17/2020,02/01/2020,06/13/2020,AL,Shelby County,1117,20,480
06/17/2020,02/01/2020,06/13/2020,AL,Tallapoosa County,1123,54,224
06/17/2020,02/01/2020,06/13/2020,AL,Tuscaloosa County,1125,35,790
06/17/2020,02/01/2020,06/13/2020,AZ,Apache County,4001,17,164
06/17/2020,02/01/2020,06/13/2020,AZ,Coconino County,4005,93,480
06/17/2020,02/01/2020,06/13/2020,AZ,Maricopa County,4013,518,14746
06/17/2020,02/01/2020,06/13/2020,AZ,Mohave County,4015,42,1256
06/17/2020,02/01/2020,06/13/2020,AZ,Navajo County,4017,20,375
06/17/2020,02/01/2020,06/13/2020,AZ,Pima County,4019,211,4460
06/17/2020,02/01/2020,06/13/2020,AZ,Pinal County,4021,21,993
06/17/2020,02/01/2020,06/13/2020,AZ,Yuma County,4027,37,719
06/17/2020,02/01/2020,06/13/2020,AR,Craighead County,5031,10,698
06/17/2020,02/01/2020,06/13/2020,AR,Jefferson County,5069,28,371
06/17/2020,02/01/2020,06/13/2020,AR,Pulaski County,5119,51,2297
06/17/2020,02/01/2020,06/13/2020,AR,Washington County,5143,10,809
06/17/2020,02/01/2020,06/13/2020,CA,Alameda County,6001,109,4101
06/17/2020,02/01/2020,06/13/2020,CA,Contra Costa County,6013,37,3060
06/17/2020,02/01/2020,06/13/2020,CA,Fresno County,6019,45,2857
06/17/2020,02/01/2020,06/13/2020,CA,Imperial County,6025,44,389
06/17/2020,02/01/2020,06/13/2020,CA,Kern County,6029,42,2354
06/17/2020,02/01/2020,06/13/2020,CA,Kings County,6031,12,339
06/17/2020,02/01/2020,06/13/2020,CA,Los Angeles County,6037,2296,27725
06/17/2020,02/01/2020,06/13/2020,CA,Marin County,6041,14,727
06/17/2020,02/01/2020,06/13/2020,CA,Monterey County,6053,10,1011
06/17/2020,02/01/2020,06/13/2020,CA,Orange County,6059,219,8046
06/17/2020,02/01/2020,06/13/2020,CA,Placer County,6061,21,1486
06/17/2020,02/01/2020,06/13/2020,CA,Riverside County,6065,341,6887
06/17/2020,02/01/2020,06/13/2020,CA,Sacramento County,6067,54,4677
06/17/2020,02/01/2020,06/13/2020,CA,San Bernardino County,6071,218,5798
06/17/2020,02/01/2020,06/13/2020,CA,San Diego County,6073,327,8897
06/17/2020,02/01/2020,06/13/2020,CA,San Francisco County,6075,50,2402
06/17/2020,02/01/2020,06/13/2020,CA,San Joaquin County,6077,32,2097
06/17/2020,02/01/2020,06/13/2020,CA,San Mateo County,6081,99,1854
06/17/2020,02/01/2020,06/13/2020,CA,Santa Barbara County,6083,16,1235
06/17/2020,02/01/2020,06/13/2020,CA,Santa Clara County,6085,140,4350
06/17/2020,02/01/2020,06/13/2020,CA,Solano County,6095,23,1307
06/17/2020,02/01/2020,06/13/2020,CA,Stanislaus County,6099,35,1937
06/17/2020,02/01/2020,06/13/2020,CA,Tulare County,6107,83,1214
06/17/2020,02/01/2020,06/13/2020,CA,Ventura County,6111,38,2193
06/17/2020,02/01/2020,06/13/2020,CA,Yolo County,6113,18,461
06/17/2020,02/01/2020,06/13/2020,CO,Adams County,8001,185,1464
06/17/2020,02/01/2020,06/13/2020,CO,Arapahoe County,8005,328,2030
06/17/2020,02/01/2020,06/13/2020,CO,Boulder County,8013,71,975
06/17/2020,02/01/2020,06/13/2020,CO,Broomfield County,8014,17,145
06/17/2020,02/01/2020,06/13/2020,CO,Chaffee County,8015,16,81
06/17/2020,02/01/2020,06/13/2020,CO,Denver County,8031,251,2221
06/17/2020,02/01/2020,06/13/2020,CO,Douglas County,8035,52,644
06/17/2020,02/01/2020,06/13/2020,CO,El Paso County,8041,86,2015
06/17/2020,02/01/2020,06/13/2020,CO,Jefferson County,8059,165,2046
06/17/2020,02/01/2020,06/13/2020,CO,Larimer County,8069,38,1018
06/17/2020,02/01/2020,06/13/2020,CO,Montrose County,8085,11,166
06/17/2020,02/01/2020,06/13/2020,CO,Morgan County,8087,29,111
06/17/2020,02/01/2020,06/13/2020,CO,Pueblo County,8101,16,821
06/17/2020,02/01/2020,06/13/2020,CO,Weld County,8123,105,696
06/17/2020,02/01/2020,06/13/2020,CT,Fairfield County,9001,946,2259
06/17/2020,02/01/2020,06/13/2020,CT,Hartford County,9003,929,2689
06/17/2020,02/01/2020,06/13/2020,CT,Litchfield County,9005,91,368
06/17/2020,02/01/2020,06/13/2020,CT,Middlesex County,9007,91,366
06/17/2020,02/01/2020,06/13/2020,CT,New Haven County,9009,705,2319
06/17/2020,02/01/2020,06/13/2020,CT,New London County,9011,64,468
06/17/2020,02/01/2020,06/13/2020,CT,Tolland County,9013,32,156
06/17/2020,02/01/2020,06/13/2020,CT,Windham County,9015,11,184
06/17/2020,02/01/2020,06/13/2020,DE,Kent County,10001,63,675
